"filename", "language", "Python", "JSON", "HTML", "pip requirements", "Properties", "Batch", "C++", "PowerShell", "CSS", "Markdown", "JavaScript", "XML", "C", "comment", "blank", "total"
"c:\Users\Neel Shettigar\Desktop\ReachTeens\.vs\VSWorkspaceState.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\Neel Shettigar\Desktop\ReachTeens\requirements.txt", "pip requirements", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49
"c:\Users\Neel Shettigar\Desktop\ReachTeens\run.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Include\site\python3.9\greenlet\greenlet.h", "C++", 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 39, 24, 147
"c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\Flask_Bcrypt-0.7.1-py3.9.egg-info\version_info.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\PIL\BdfFontFile.py", "Python", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 21, 111
"c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\PIL\BlpImagePlugin.py", "Python", 289, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 88, 429
"c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\PIL\BmpImagePlugin.py", "Python", 244, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 57, 379
"c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\PIL\BufrStubImagePlugin.py", "Python", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 25, 74
"c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\PIL\ContainerIO.py", "Python", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 13, 121
